date,day_of_week,day_name,weekend,holiday,special_event,weather,shift,role,covers,employees_required,employees_scheduled,absent,actual_present,hours_per_employee,hourly_wage,labor_cost,service_score
2024-01-01,0,Monday,0,1,0,Sunny,Lunch,Server,146,19,18,0,18,5.0,14.0,1260.0,4.45
2024-01-01,0,Monday,0,1,0,Sunny,Lunch,Cook,146,10,11,1,10,5.0,20.0,1000.0,4.85
2024-01-01,0,Monday,0,1,0,Sunny,Lunch,Host,146,6,5,0,5,5.0,15.0,375.0,4.19
2024-01-01,0,Monday,0,1,0,Sunny,Lunch,Cashier,146,6,6,0,6,5.0,14.0,420.0,4.52
2024-01-01,0,Monday,0,1,0,Sunny,Lunch,Dishwasher,146,7,7,0,7,5.0,13.0,455.0,4.93
2024-01-01,0,Monday,0,1,0,Sunny,Dinner,Server,234,30,28,2,26,6.5,14.0,2366.0,2.8
2024-01-01,0,Monday,0,1,0,Sunny,Dinner,Cook,234,15,13,2,11,6.5,20.0,1430.0,2.16
2024-01-01,0,Monday,0,1,0,Sunny,Dinner,Host,234,10,9,0,9,6.5,15.0,877.5,4.11
2024-01-01,0,Monday,0,1,0,Sunny,Dinner,Cashier,234,9,7,1,6,6.5,14.0,546.0,3.23
2024-01-01,0,Monday,0,1,0,Sunny,Dinner,Dishwasher,234,11,10,1,9,6.5,13.0,760.5,3.58
2024-01-02,1,Tuesday,0,0,0,Snow,Lunch,Server,82,11,11,0,11,5.0,14.0,770.0,4.76
2024-01-02,1,Tuesday,0,0,0,Snow,Lunch,Cook,82,6,6,1,5,5.0,20.0,500.0,4.14
2024-01-02,1,Tuesday,0,0,0,Snow,Lunch,Host,82,4,4,0,4,5.0,15.0,300.0,4.78
2024-01-02,1,Tuesday,0,0,0,Snow,Lunch,Cashier,82,3,4,0,4,5.0,14.0,280.0,4.71
2024-01-02,1,Tuesday,0,0,0,Snow,Lunch,Dishwasher,82,4,4,1,3,5.0,13.0,195.0,4.2
2024-01-02,1,Tuesday,0,0,0,Snow,Dinner,Server,143,18,17,2,15,6.5,14.0,1365.0,2.83
2024-01-02,1,Tuesday,0,0,0,Snow,Dinner,Cook,143,9,9,0,9,6.5,20.0,1170.0,4.67
2024-01-02,1,Tuesday,0,0,0,Snow,Dinner,Host,143,6,6,1,5,6.5,15.0,487.5,4.01
2024-01-02,1,Tuesday,0,0,0,Snow,Dinner,Cashier,143,6,5,0,5,6.5,14.0,455.0,4.12
2024-01-02,1,Tuesday,0,0,0,Snow,Dinner,Dishwasher,143,7,7,0,7,6.5,13.0,591.5,4.96
2024-01-03,2,Wednesday,0,0,0,Sunny,Lunch,Server,100,13,13,1,12,5.0,14.0,840.0,4.14
2024-01-03,2,Wednesday,0,0,0,Sunny,Lunch,Cook,100,7,8,0,8,5.0,20.0,800.0,4.79
2024-01-03,2,Wednesday,0,0,0,Sunny,Lunch,Host,100,4,4,0,4,5.0,15.0,300.0,4.91
2024-01-03,2,Wednesday,0,0,0,Sunny,Lunch,Cashier,100,4,4,1,3,5.0,14.0,210.0,4.17
2024-01-03,2,Wednesday,0,0,0,Sunny,Lunch,Dishwasher,100,5,6,1,5,5.0,13.0,325.0,4.67
2024-01-03,2,Wednesday,0,0,0,Sunny,Dinner,Server,175,22,23,0,23,6.5,14.0,2093.0,4.75
2024-01-03,2,Wednesday,0,0,0,Sunny,Dinner,Cook,175,11,11,0,11,6.5,20.0,1430.0,4.77
2024-01-03,2,Wednesday,0,0,0,Sunny,Dinner,Host,175,7,7,0,7,6.5,15.0,682.5,4.7
2024-01-03,2,Wednesday,0,0,0,Sunny,Dinner,Cashier,175,7,7,2,5,6.5,14.0,455.0,3.45
2024-01-03,2,Wednesday,0,0,0,Sunny,Dinner,Dishwasher,175,8,7,1,6,6.5,13.0,507.0,3.57
2024-01-04,3,Thursday,0,0,0,Sunny,Lunch,Server,99,13,13,1,12,5.0,14.0,840.0,4.35
2024-01-04,3,Thursday,0,0,0,Sunny,Lunch,Cook,99,7,8,0,8,5.0,20.0,800.0,4.88
2024-01-04,3,Thursday,0,0,0,Sunny,Lunch,Host,99,4,5,0,5,5.0,15.0,375.0,4.62
2024-01-04,3,Thursday,0,0,0,Sunny,Lunch,Cashier,99,4,5,0,5,5.0,14.0,350.0,4.67
2024-01-04,3,Thursday,0,0,0,Sunny,Lunch,Dishwasher,99,5,6,0,6,5.0,13.0,390.0,4.67
2024-01-04,3,Thursday,0,0,0,Sunny,Dinner,Server,186,24,23,1,22,6.5,14.0,2002.0,3.74
